fecha,co,no2,pm10
2009-10-01,0.5389999999999999,33.36363636363637,
2009-10-02,0.6690000000000002,33.54545454545455,
2009-10-03,,,
2009-10-04,0.3225,23.833333333333332,
2009-10-05,0.5666666666666667,29.25,
2009-10-06,0.40291666666666665,24.958333333333332,
2009-10-07,0.41625,31.041666666666668,
2009-10-08,0.5175,30.958333333333332,
2009-10-09,0.3258333333333333,18.125,
2009-10-10,,,
2009-10-11,,,
2009-10-12,0.3016666666666667,25.583333333333332,
2009-10-13,0.40166666666666667,26.041666666666668,
2009-10-14,0.5008333333333332,25.476190476190474,
2009-10-15,0.4791666666666666,26.904761904761905,
2009-10-16,0.5058333333333334,22.363636363636363,
2009-10-17,,,
2009-10-18,0.4033333333333333,20.583333333333332,
2009-10-19,0.565,28.833333333333332,
2009-10-20,1.0316666666666665,50.0,
2009-10-21,0.5637500000000001,31.38095238095238,
2009-10-22,0.6125,31.083333333333332,
2009-10-23,0.4266666666666667,20.166666666666668,
2009-10-24,,,
2009-10-25,,,
2009-10-26,0.42875,23.625,
2009-10-27,0.3854166666666667,21.458333333333332,
2009-10-28,0.5545833333333333,30.842105263157894,
2009-10-29,,,
2009-10-30,,,
2009-10-31,,,
2009-11-01,0.5366666666666667,16.416666666666668,
2009-11-02,0.3675,20.8,
2009-11-03,,,
2009-11-04,0.5404166666666667,21.291666666666668,
2009-11-05,0.8812499999999998,37.125,
2009-11-06,0.8266666666666665,21.958333333333332,
2009-11-07,0.5883333333333334,20.541666666666668,
2009-11-08,0.6633333333333333,20.25,
2009-11-09,0.8183333333333334,28.916666666666668,
2009-11-10,0.9183333333333333,33.25,
2009-11-11,0.7054166666666667,31.333333333333332,
2009-11-12,0.5941666666666666,28.833333333333332,
2009-11-13,0.6704166666666667,28.291666666666668,
2009-11-14,0.5641666666666668,25.291666666666668,
2009-11-15,0.5433333333333333,21.916666666666668,
2009-11-16,0.8108333333333334,21.875,
2009-11-17,0.6408333333333333,17.916666666666668,
2009-11-18,0.4549999999999999,20.3,
2009-11-19,0.6345833333333333,25.583333333333332,
2009-11-20,0.6930434782608695,26.263157894736842,
2009-11-21,0.6270833333333333,16.833333333333332,
2009-11-22,0.8137500000000001,14.0,
2009-11-23,0.6891666666666668,14.875,
2009-11-24,0.67625,16.0,
2009-11-25,0.8745833333333333,17.083333333333332,
2009-11-26,0.7825000000000001,32.041666666666664,
2009-11-27,0.8620833333333334,25.083333333333332,
2009-11-28,0.8037500000000001,18.833333333333332,
2009-11-29,0.8995833333333333,18.666666666666668,
2009-11-30,1.0000000000000002,31.416666666666668,
2009-12-01,1.2016666666666667,24.166666666666668,
2009-12-02,0.9443478260869567,24.473684210526315,
2009-12-03,0.6137500000000001,17.3,
2009-12-04,0.6070833333333333,26.291666666666668,
2009-12-05,0.6887500000000001,21.666666666666668,
2009-12-06,0.5266666666666666,16.125,
2009-12-07,0.5108333333333334,22.333333333333332,
2009-12-08,0.43250000000000005,14.208333333333334,
2009-12-09,0.5175,19.95,
2009-12-10,0.64875,26.916666666666668,
2009-12-11,0.6950000000000001,26.05263157894737,
2009-12-12,0.5870833333333334,16.708333333333332,
2009-12-13,0.4895833333333334,16.125,
2009-12-14,0.6587500000000001,25.958333333333332,
2009-12-15,0.7899999999999999,26.625,
2009-12-16,0.6633333333333333,19.916666666666668,
2009-12-17,0.61875,21.842105263157894,
2009-12-18,0.5591666666666667,18.375,
2009-12-19,0.7241666666666667,19.375,
2009-12-20,0.6329166666666667,16.291666666666668,
2009-12-21,0.5842857142857143,26.88235294117647,
2009-12-22,0.5958333333333334,16.833333333333332,
2009-12-23,0.9691666666666668,21.727272727272727,
2009-12-24,0.5845833333333333,16.541666666666668,
2009-12-25,0.5962500000000001,17.916666666666668,
2009-12-26,0.6020833333333334,16.5,
2009-12-27,0.5225,13.368421052631579,
2009-12-28,0.6816666666666665,18.68421052631579,
2009-12-29,1.1292307692307693,27.571428571428573,
2009-12-30,,24.333333333333332,
2009-12-31,,,
2010-01-01,,,
2010-01-02,,,
2010-01-03,,,
2010-01-04,,,
2010-01-05,,,
2010-01-06,,,
2010-01-07,,,
2010-01-08,,,
2010-01-09,,,
2010-01-10,,,
2010-01-11,,,
2010-01-12,,,
2010-01-13,,,
2010-01-14,,,
2010-01-15,,,
2010-01-16,,,
2010-01-17,,,
2010-01-18,,47.0,
2010-01-19,,29.555555555555557,
2010-01-20,,,
2010-01-21,,,
2010-01-22,,,
2010-01-23,,,
2010-01-24,,,
2010-01-25,,,
2010-01-26,,20.545454545454547,
2010-01-27,0.465,16.043478260869566,
2010-01-28,0.4683333333333335,15.708333333333334,
2010-01-29,0.3211764705882353,17.68421052631579,
2010-01-30,0.28454545454545455,16.666666666666668,
2010-01-31,,,
2010-02-01,,27.4,
2010-02-02,0.37999999999999995,13.958333333333334,
2010-02-03,0.5133333333333333,25.958333333333332,
2010-02-04,0.8187500000000001,29.125,
2010-02-05,1.3320833333333335,24.0,
2010-02-06,1.30875,20.083333333333332,
2010-02-07,1.3479166666666664,22.541666666666668,
2010-02-08,1.3554166666666667,26.666666666666668,
2010-02-09,1.312083333333333,28.5,
2010-02-10,1.2154166666666664,25.083333333333332,
2010-02-11,1.1275000000000002,27.208333333333332,
2010-02-12,1.1291666666666667,16.444444444444443,
2010-02-13,,,
2010-02-14,,,
2010-02-15,,,
2010-02-16,,,
2010-02-17,,,
2010-02-18,,,
2010-02-19,,,
2010-02-20,,,
2010-02-21,,,
2010-02-22,,,
2010-02-23,,,
2010-02-24,,,
2010-02-25,,,
2010-02-26,,,
2010-02-27,,,
2010-02-28,,,
2010-03-01,,,
2010-03-02,,,
2010-03-03,,,
2010-03-04,,,
2010-03-05,,,
2010-03-06,,,
2010-03-07,,,
2010-03-08,,,
2010-03-09,,,
2010-03-10,,,
2010-03-11,,,
2010-03-12,,,
